name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Parle Elizabeth ...,3.8,(103 Reviews),Mumbai + 6 more,14 years old,1k-5k Employees (Global),
GUILTFREE INDUST...,3.8,(103 Reviews),Public,"Kolkata,West Bengal + 29 more",6 years old,201-500 Employees (India)
Savex Technologi...,4.5,(103 Reviews),Mumbai + 28 more,36 years old,501-1k Employees (India),
Shriram Properti...,3.6,(103 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 6 more",27 years old,501-1k Employees (India)
Phenix Construct...,4.2,(103 Reviews),Private,"Ahmedabad,Gujarat + 9 more",15 years old,1k-5k Employees (India)
Keppel Offshore ...,4,(103 Reviews),Private,Mumbai + 11 more,20 years old,51-200 Employees (India)
MKCL,4.1,(103 Reviews),Private,Pune + 22 more,21 years old,201-500 Employees (India)
Dr D Y Patil Med...,4.2,(103 Reviews),Private,Pune + 5 more,26 years old,1k-5k Employees (India)
Nippon Toyota,4.5,(103 Reviews),Private,"Kochi/Cochin,Kerala + 9 more",23 years old,201-500 Employees (India)
Vinati Organics,4,(103 Reviews),Public,"Mumbai,Maharashtra + 6 more",33 years old,501-1k Employees (India)
Prism Johnson Li...,4.1,(103 Reviews),Public,Mumbai + 33 more,26 years old,1k-5k Employees (India)
Velnik India,3.3,(103 Reviews),Private,"Indore,Madhya Pradesh + 19 more",5 years old,1k-5k Employees (India)
InternEzy,5,(103 Reviews),Erode + 2 more,,,
Scaler Academy,4.6,(103 Reviews),Private,"Bangalore,Karnataka",3 years old,201-500 Employees (Global)
DISYS,3.6,(102 Reviews),Private,"McLean,Virginia + 7 more",28 years old,51-200 Employees (India)
T.G.I. Friday's,4.1,(102 Reviews),Dallas + 13 more,57 years old,10k-50k Employees (Global),
Epson,4.4,(102 Reviews),Suwa + 36 more,80 years old,501-1k Employees (India),
World Health Org...,4.5,(102 Reviews),Private,"Geneva,Canton Of Geneva + 45 more",74 years old,1k-5k Employees (India)
HMSHost,4,(102 Reviews),Private,"Bethesda,Maryland + 8 more",125 years old,201-500 Employees (India)
Chetak Enterpris...,3.7,(102 Reviews),Public,"Mumbai,Maharashtra + 14 more",22 years old,51-200 Employees (India)
Malladi Drugs & ...,4.2,(102 Reviews),Private,"Chennai,Tamil Nadu + 7 more",42 years old,501-1k Employees (India)
Solaris Chemtech,4.5,(102 Reviews),Private,Gurgaon + 9 more,52 years old,201-500 Employees (India)
Development Cons...,3.9,(102 Reviews),Private,Kolkata + 4 more,72 years old,51-200 Employees (India)
Evoke Technologi...,4.2,(102 Reviews),Private,"Dayton,Ohio + 1 more",19 years old,501-1k Employees (India)
Capital Float,4.3,(102 Reviews),Private,"Bangalore,Karnataka + 16 more",9 years old,201-500 Employees (India)
Parker Hannifin,4.4,(102 Reviews),Private,"Cleveland,Ohio + 10 more",105 years old,1k-5k Employees (India)
SAVA Healthcare,4.3,(102 Reviews),"Pune,Maharashtra + 6 more",19 years old,501-1k Employees (India),
GD Goenka Univer...,4,(102 Reviews),Private,"Gurgaon/Gurugram,Haryana + 20 more",9 years old,201-500 Employees (Global)
Chemie-Tech Proj...,3.4,(102 Reviews),Private,Sharjah + 12 more,25 years old,51-200 Employees (India)
Equinox Labs,4.1,(102 Reviews),Private,"Mumbai,Maharashtra + 8 more",17 years old,51-200 Employees (India)
Torque Pharmaceu...,3.9,(102 Reviews),Private,"Chandigarh,Chandigarh + 22 more",37 years old,51-200 Employees (India)
National Highway...,4,(102 Reviews),"Delhi/NCR,Delhi + 52 more",34 years old,5k-10k Employees (Global),
Polaris,3.9,(102 Reviews),Private,Faridabad + 11 more,11 years old,201-500 Employees (India)
Banaras Hindu Un...,4.1,(102 Reviews),Private,"Varanasi/Benaras,Uttar Pradesh + 12 more",106 years old,501-1k Employees (India)
Epitome Componen...,3.4,(102 Reviews),Private,"Ahmednagar,Maharashtra + 4 more",28 years old,51-200 Employees (India)
Ajay Industrial ...,3.9,(102 Reviews),Private,"Ghaziabad,Uttar Pradesh + 21 more",61 years old,201-500 Employees (India)
Digital Nirvana ...,4,(102 Reviews),Private,"Fremont,California",26 years old,201-500 Employees (India)
FOX Solutions,3.5,(102 Reviews),"Nasik/Nashik,Maharashtra + 8 more",27 years old,201-500 Employees (India),
Balrampur Chini ...,4.4,(102 Reviews),Public,"Kolkata,West Bengal + 8 more",47 years old,1k-5k Employees (India)
Db Power,4.2,(102 Reviews),Private,"Mumbai,Maharashtra + 5 more",12 years old,501-1k Employees (India)
More Mega Store,4,(102 Reviews),"Mumbai,Maharashtra + 21 more",15 years old,11-50 Employees (India),
Eaton Power Qual...,4.1,(102 Reviews),"New Delhi,Delhi + 11 more",111 years old,201-500 Employees (India),
Atmecs Technolog...,3.8,(102 Reviews),Private,"Santa Clara,California + 2 more",9 years old,501-1k Employees (India)
Pacific Cyber Te...,3.7,(102 Reviews),Mumbai + 4 more,7 years old,201-500 Employees (India),
Nielsen Sports,3.8,(102 Reviews),Private,"Bangalore,Karnataka + 1 more",18 years old,10k-50k Employees (Global)
IFB Agro Industr...,4.3,(102 Reviews),Public,Kolkata + 16 more,40 years old,1k-5k Employees (India)
Tenon Facility M...,4,(102 Reviews),"Gurgaon/Gurugram,Haryana + 16 more",27 years old,201-500 Employees (India),
Livguard,4.4,(102 Reviews),Private,"Gurgaon,Haryana + 13 more",8 years old,501-1k Employees (India)
VIKRAN Engineeri...,4.2,(102 Reviews),Private,Thane + 21 more,14 years old,51-200 Employees (India)
Matix Fertiliser...,4,(102 Reviews),Private,"Mumbai,Maharashtra + 10 more",13 years old,501-1k Employees (India)
Seco Tools,4.3,(102 Reviews),Private,Fagersta + 2 more,88 years old,201-500 Employees (India)
Sathavahana Ispa...,3.8,(102 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 1 more",33 years old,501-1k Employees (India)
DCW,4,(102 Reviews),Public,"Mumbai,Maharashtra + 8 more",97 years old,1k-5k Employees (India)
HEUBACH Colour,4,(102 Reviews),Private,Vadodara + 9 more,28 years old,51-200 Employees (India)
Ahresty India,3.6,(102 Reviews),Private,"Rewari,Haryana + 5 more",15 years old,51-200 Employees (India)
Harita Techserv,3.6,(102 Reviews),Public,"Chennai,Tamil Nadu + 7 more",26 years old,51-200 Employees (India)
Safdarjung Hospi...,4.7,(102 Reviews),"Delhi/NCR,Delhi + 6 more",80 years old,501-1k Employees (India),
Dr. Ram Manohar ...,4.4,(102 Reviews),Private,New Delhi + 5 more,90 years old,201-500 Employees (India)
Niine,3.7,(102 Reviews),"Gurgaon,Haryana + 30 more",4 years old,51-200 Employees (India),
Institute of Che...,4.2,(102 Reviews),Private,Mumbai + 22 more,89 years old,501-1k Employees (Global)
ShortHills Tech,4.7,(102 Reviews),New Jersey + 2 more,4 years old,51-200 Employees (India),
PSA AVTEC Powert...,3.8,(102 Reviews),Hosur + 4 more,5 years old,51-200 Employees (India),
BCG,4,(102 Reviews),Private,"Boston,Massachusetts + 7 more",59 years old,1k-5k Employees (India)
Scholastic,4.1,(113 Reviews),Private,"Gurgaon/Gurugram,Haryana + 24 more",25 years old,51-200 Employees (India)
Sapient Global M...,3.7,(101 Reviews),Private,Boston + 8 more,32 years old,1k-5k Employees (Global)
TCS e-Serve Inte...,3.7,(101 Reviews),Private,Mumbai + 18 more,5k-10k Employees (India),
Inland World Log...,3.7,(101 Reviews),Private,"Mumbai,Maharashtra + 28 more",40 years old,1k-5k Employees (India)
Shipping Corpora...,3.9,(101 Reviews),Private,Mumbai + 5 more,61 years old,1k-5k Employees (India)
Shanthi Gears,4.2,(101 Reviews),Public,"Coimbatore,Tamil Nadu + 6 more",53 years old,501-1k Employees (India)
LUX Industries,4.1,(101 Reviews),Public,Kolkata + 15 more,65 years old,1k-5k Employees (India)
Paperchase Accou...,3.7,(101 Reviews),Private,New York,33 years old,501-1k Employees (India)
Medline Industri...,4.2,(101 Reviews),Private,"Northfield,Illinois + 3 more",56 years old,201-500 Employees (India)
Doshion,2.5,(101 Reviews),Private,Ahmedabad + 7 more,44 years old,1-10 Employees (India)
Hitachi Home & L...,3.8,(101 Reviews),Private,Kadi + 21 more,38 years old,1-10 Employees (India)
Sand Martin Cons...,3.2,(101 Reviews),New Delhi + 4 more,38 years old,201-500 Employees (India),
Government of An...,3.9,(101 Reviews),Public,Velagapudi + 32 more,69 years old,1 Lakh+ Employees (Global)
Chembond Chemica...,3.6,(101 Reviews),Public,"Mumbai,Maharashtra + 13 more",49 years old,51-200 Employees (India)
Bonanza Portfoli...,3.4,(101 Reviews),Private,New Delhi + 29 more,28 years old,1k-5k Employees (India)
Madras Engineeri...,4.1,(101 Reviews),Chennai + 7 more,56 years old,11-50 Employees (India),
Barbrik Project,4,(101 Reviews),Public,Surajpur + 14 more,14 years old,501-1k Employees (India)
United Nations D...,4.3,(101 Reviews),Public,"New York,New York + 25 more",57 years old,201-500 Employees (India)
Intense Technolo...,4.1,(101 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 11 more",32 years old,501-1k Employees (India)
Peps Industries,3.7,(101 Reviews),Bangalore + 23 more,16 years old,501-1k Employees (India),
Apache Footwear,3.9,(101 Reviews),Private,Nellore + 5 more,31 years old,51-200 Employees (India)
Noida Power Comp...,3.9,(101 Reviews),Private,Greater Noida + 4 more,29 years old,1k-5k Employees (India)
Indigo Paints,3.9,(101 Reviews),Private,"Pune,Maharashtra + 32 more",22 years old,51-200 Employees (India)
Kanoria Chemical...,4.1,(101 Reviews),Public,"Delhi/NCR,Delhi + 6 more",62 years old,1k-5k Employees (India)
Kyndal India,3.8,(101 Reviews),Private,Gurgaon + 11 more,20 years old,51-200 Employees (India)
Linc,3.7,(101 Reviews),Public,"Kolkata,West Bengal + 18 more",46 years old,1k-5k Employees (India)
WAKEFIT INNOVATI...,3.7,(101 Reviews),Private,"Bangalore,Karnataka + 18 more",8 years old,1k-5k Employees (India)
Cryptograph Tech...,4.4,(101 Reviews),Bengaluru + 10 more,12 years old,51-200 Employees (India),
Gapbridge Softwa...,4,(101 Reviews),Private,"Bengaluru,Karnataka + 19 more",12 years old,51-200 Employees (India)
DLF Brands,3.6,(101 Reviews),Private,New Delhi + 14 more,14 years old,1k-5k Employees (India)
Ministry of Rura...,4.3,(101 Reviews),Public,New Delhi + 42 more,48 years old,51-200 Employees (India)
SYSTRA,4,(101 Reviews),Public,Paris + 23 more,65 years old,1k-5k Employees (India)
RadiSys,4.5,(101 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",35 years old,1k-5k Employees (India)
CTR Manufacturin...,3.5,(101 Reviews),Public,"Pune,Maharashtra + 8 more",58 years old,51-200 Employees (India)
City Montessori ...,3.9,(101 Reviews),Private,"Lucknow,Uttar Pradesh + 9 more",63 years old,1k-5k Employees (India)
Jyote Motors,3.6,(101 Reviews),Private,"Bhubaneswar,Odisha + 7 more",26 years old,51-200 Employees (India)
Terrier Security...,4.1,(101 Reviews),Private,Bangalore + 22 more,33 years old,51-200 Employees (India)
CyberSWIFT Infot...,3.8,(101 Reviews),Private,"Worthington,Ohio + 3 more",25 years old,51-200 Employees (India)
InternIn,4.6,(101 Reviews),Private,"Aurangabad,Maharashtra + 14 more",2 years old,11-50 Employees (Global)
Quale Infotech,4.8,(101 Reviews),Private,"New Delhi,Delhi + 8 more",5 years old,51-200 Employees (India)
Congruex Asia Pa...,4,(101 Reviews),LLC,"Boulder,Colorado + 2 more",6 years old,1k-5k Employees (India)
ANR Software,3.5,(101 Reviews),Private,"Noida,Uttar Pradesh + 3 more",18 years old,201-500 Employees (India)
Appco Group,3.4,(100 Reviews),Private,Kuala Lumpur + 13 more,27 years old,501-1k Employees (Global)
Parsvnath Develo...,3.1,(100 Reviews),Public,"Delhi/NCR,Delhi + 11 more",32 years old,1k-5k Employees (India)
Care IT Solution...,3.4,(100 Reviews),Private,Chennai + 12 more,19 years old,1k-5k Employees (Global)
Quadlabs Technol...,4.5,(100 Reviews),Private,"Gurgaon/Gurugram,Haryana + 1 more",16 years old,51-200 Employees (India)
Sadhu Forging,3.7,(100 Reviews),Private,"Faridabad,Haryana + 5 more",46 years old,201-500 Employees (India)
LimeRoad,3.4,(100 Reviews),Private,"Gurgaon,Haryana + 4 more",10 years old,501-1k Employees (India)
Radiant Export,4.4,(100 Reviews),"Noida,Uttar Pradesh + 1 more",31 years old,51-200 Employees (India),
Nava Bharath Fer...,4.3,(100 Reviews),"Hyderabad/Secunderabad,Telangana + 27 more",7 years old,51-200 Employees (India),
RAXA,4.2,(100 Reviews),Private,New Delhi + 15 more,17 years old,201-500 Employees (India)
Linfox Logistics,4.2,(100 Reviews),"Mumbai,Maharashtra + 18 more",66 years old,51-200 Employees (India),
Rithwik Projects,3.9,(100 Reviews),Hyderabad + 15 more,23 years old,1k-5k Employees (India),
Dr Oetker,4.3,(100 Reviews),Bielefeld + 20 more,131 years old,201-500 Employees (India),
Arundhati Jewell...,4.7,(100 Reviews),Private,"Bhubaneswar,Odisha + 5 more",22 years old,501-1k Employees (India)
Pahal Financial ...,4.3,(100 Reviews),Private,Ahmedabad + 31 more,28 years old,501-1k Employees (India)
BMW Industries,4.2,(100 Reviews),Public,Kolkata + 10 more,52 years old,501-1k Employees (India)
Welspun Global B...,3.8,(100 Reviews),Public,Mumbai + 18 more,22 years old,10k-50k Employees (Global)
Eugia Pharma Spe...,3.9,(100 Reviews),Hyderabad/Secunderabad + 1 more,201-500 Employees (India),,
Simar Infrastruc...,3.9,(100 Reviews),Public,Panipat + 14 more,24 years old,501-1k Employees (India)
Propertypistol R...,3.2,(100 Reviews),Private,"Mumbai,Maharashtra + 10 more",10 years old,501-1k Employees (India)
AIDA Cruises,4.7,(100 Reviews),Private,Rostock + 6 more,26 years old,201-500 Employees (India)
Emrill Services ...,4.5,(100 Reviews),Dubai + 2 more,20 years old,5k-10k Employees (Global),
Shiva Pharmachem,4,(100 Reviews),"Vadodara/Baroda,Gujarat + 2 more",21 years old,201-500 Employees (India),
Bombay Stock Exc...,4.1,(100 Reviews),Mumbai + 7 more,147 years old,1k-5k Employees (India),
Abhijeet Group,4.2,(100 Reviews),Private,Nagpur + 18 more,34 years old,5k-10k Employees (India)
Ramky Group,4.4,(100 Reviews),Private,"Issy-les-moulineaux,Hauts-de-seine + 23 more",28 years old,50k-1 Lakh Employees (India)
Sigma Supply Cha...,3.8,(100 Reviews),Private,Noida + 22 more,15 years old,51-200 Employees (India)
Raheja Developer...,3.3,(100 Reviews),Public,"Gurgaon/Gurugram,Haryana + 3 more",33 years old,201-500 Employees (India)
Tecumseh Product...,3.5,(100 Reviews),Private,"Ann Arbor,Michigan + 6 more",88 years old,201-500 Employees (India)
Oaknet Healthcar...,3.7,(100 Reviews),"Mumbai,Maharashtra + 23 more",7 years old,201-500 Employees (India),
Amanta Healthcar...,4.3,(100 Reviews),Private,Ahmedabad + 6 more,24 years old,51-200 Employees (India)
Rakon,3.7,(100 Reviews),"Bangalore/Bengaluru,Karnataka + 1 more",55 years old,201-500 Employees (India),
Ameyo,3.5,(100 Reviews),Private,"Gurgaon,Haryana + 6 more",19 years old,201-500 Employees (India)
OneClick IT Cons...,4.8,(100 Reviews),"Ahmedabad,Gujarat",10 years old,51-200 Employees (India),
Garware Hi-Tech ...,3.8,(100 Reviews),Public,"Mumbai,Maharashtra + 6 more",89 years old,1k-5k Employees (India)
Bonn group,3.8,(100 Reviews),Private,"Ludhiana,Punjab + 11 more",37 years old,1k-5k Employees (India)
Siegwerk,4.2,(100 Reviews),Private,"Siegburg,NRW + 12 more",192 years old,501-1k Employees (India)
Madura Garments,3.7,(99 Reviews),Private,Bangalore + 25 more,34 years old,51-200 Employees (India)
CBSI,3.7,(99 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 9 more",24 years old,501-1k Employees (India)
NLC,4.4,(99 Reviews),Private,"Chennai,Tamil Nadu + 4 more",66 years old,10k-50k Employees (India)
Xylem Water Solu...,4.2,(99 Reviews),Private,"Rye Brook,New York + 11 more",11 years old,501-1k Employees (India)
Etihad Airways,4.3,(99 Reviews),Private,Abu Dhabi + 11 more,19 years old,51-200 Employees (India)
Innovatiview,3.5,(99 Reviews),Private,"Noida,Uttar Pradesh + 3 more",12 years old,201-500 Employees (India)
Armstrong Intern...,4.1,(99 Reviews),Private,"Three Rivers,MI + 16 more",122 years old,51-200 Employees (India)
Dotsquares,3.7,(99 Reviews),Private,London + 1 more,20 years old,1k-5k Employees (India)
Hanu Software So...,3.7,(99 Reviews),Private,"Princeton,New Jersey + 2 more",20 years old,51-200 Employees (India)
Sami-Sabinsa Gro...,3.3,(99 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 5 more",31 years old,501-1k Employees (India)
Toyo INK,4.3,(99 Reviews),Private,Tokyo + 11 more,16 years old,11-50 Employees (India)
Capillary Techno...,3.9,(99 Reviews),Private,"Singapore,Singapore + 3 more",14 years old,501-1k Employees (India)
Rural Electrific...,3.9,(99 Reviews),Private,New Delhi + 27 more,53 years old,501-1k Employees (Global)
Corporation Bank,4.3,(99 Reviews),Public,"Mangaluru/Mangalore,Karnataka + 33 more",116 years old,10k-50k Employees (India)
Vijaya Bank,4.2,(99 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 31 more",91 years old,10k-50k Employees (India)
Pebs Pennar,3.6,(99 Reviews),Private,"Hyderabad,Telangana + 9 more",14 years old,501-1k Employees (India)
Bull Machines,3.8,(99 Reviews),Private,"Coimbatore,Tamil Nadu + 18 more",60 years old,501-1k Employees (India)
Equate Petroche...,4.6,(99 Reviews),Ahmadi + 7 more,27 years old,1k-5k Employees (India),
Vishay Precision...,4,(99 Reviews),Public,Basingstoke + 3 more,12 years old,1k-5k Employees (India)
Yamaha Motor Ind...,3.6,(99 Reviews),Private,Gautam Buddh Nagar + 33 more,37 years old,10k-50k Employees (India)
Amity Internatio...,4.6,(99 Reviews),Noida + 10 more,28 years old,5k-10k Employees (India),
Aster Medcity,4.4,(99 Reviews),Private,"Kochi/Cochin,Kerala + 2 more",7 years old,1k-5k Employees (Global)
Suzlon Gujarat W...,4.4,(99 Reviews),Private,Pune + 15 more,27 years old,201-500 Employees (Global)
Celio Future Fas...,4.6,(99 Reviews),Private,Saint Quen + 25 more,37 years old,501-1k Employees (India)
Logicon Facility...,3.7,(99 Reviews),Pune + 6 more,16 years old,1k-5k Employees (Global),
Macmet Engineeri...,3.9,(99 Reviews),Private,"Kolkata,West Bengal + 10 more",32 years old,501-1k Employees (India)
ITC Limited - Pa...,4.1,(99 Reviews),Private,Secunderabad + 10 more,,
Bliss Gvs Pharma,3.3,(99 Reviews),Public,"Mumbai,Maharashtra + 5 more",38 years old,501-1k Employees (India)
E Pack Polymers,3.5,(99 Reviews),"Greater Noida,Uttar Pradesh + 4 more",23 years old,501-1k Employees (India),
Meneta Automotiv...,3.4,(99 Reviews),Private,Sonipat + 4 more,15 years old,201-500 Employees (India)
Trident Automobi...,4.3,(99 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 4 more",24 years old,201-500 Employees (India)
Axis Finance,4,(99 Reviews),Private,"Mumbai,Maharashtra + 33 more",27 years old,1k-5k Employees (India)
Toshiba Software...,3.8,(99 Reviews),Bengaluru + 4 more,20 years old,201-500 Employees (India),
AYN InfoTech,4.2,(99 Reviews),Public,"Pune,Maharashtra + 8 more",13 years old,11-50 Employees (India)
AMBUJANEOTIA,4.5,(99 Reviews),"Kolkata,West Bengal + 4 more",32 years old,501-1k Employees (India),
Borgwarner Emiss...,4,(99 Reviews),Private,"Auburn Hills,Michigan + 8 more",94 years old,501-1k Employees (India)
Clove Dental,3.4,(99 Reviews),Private,"Delhi,NCT + 11 more",11 years old,501-1k Employees (India)
ILS Hospital,4,(99 Reviews),Private,Kolkata + 2 more,22 years old,501-1k Employees (Global)
National Sample ...,3.6,(99 Reviews),New Delhi + 48 more,72 years old,201-500 Employees (Global),
Rucha Engineers,4.3,(99 Reviews),Ghaziabad + 6 more,15 years old,501-1k Employees (India),
Tulip Diagnostic...,4.4,(99 Reviews),Private,Goa + 29 more,34 years old,1k-5k Employees (India)
Saija Finance,4,(99 Reviews),"Patna,Bihar + 21 more",15 years old,501-1k Employees (India),
BPL Medical Tech...,4.1,(99 Reviews),Private,Bangalore + 17 more,55 years old,501-1k Employees (India)
Orient Paper Mil...,3.7,(99 Reviews),Kolkata + 6 more,83 years old,1k-5k Employees (India),
Electrical Manuf...,3.9,(99 Reviews),Private,"Kolkata,West Bengal + 33 more",69 years old,5k-10k Employees (India)
Unimark Remedies,3.2,(99 Reviews),Private,Mumbai + 7 more,40 years old,201-500 Employees (India)
Toyota Kirloskar...,4.3,(99 Reviews),Bangalore + 5 more,20 years old,201-500 Employees (India),
ILS Hospital,4,(99 Reviews),Private,Kolkata + 2 more,22 years old,501-1k Employees (Global)
Aster Medcity,4.4,(99 Reviews),Private,"Kochi/Cochin,Kerala + 2 more",7 years old,1k-5k Employees (Global)
Bliss Gvs Pharma,3.3,(99 Reviews),Public,"Mumbai,Maharashtra + 5 more",38 years old,501-1k Employees (India)
Maharishi Markan...,4,(98 Reviews),Ambala + 3 more,29 years old,501-1k Employees (India),
RNF Technologies,3.8,(98 Reviews),Private,"Noida,Uttar Pradesh + 1 more",13 years old,201-500 Employees (India)
Genus Electrotec...,3.6,(98 Reviews),Private,Gandhidham + 8 more,23 years old,1k-5k Employees (India)
Light Microfinan...,3.8,(98 Reviews),Private,"Ahmedabad,Gujarat + 42 more",28 years old,1k-5k Employees (India)
Monginis Foods,3.5,(98 Reviews),Private,"Mumbai,Maharashtra + 19 more",62 years old,501-1k Employees (India)
Gap,4.4,(98 Reviews),Private,"Delhi/NCR,Delhi + 13 more",26 years old,201-500 Employees (India)
YES,3.8,(98 Reviews),Mumbai + 39 more,10k+ Employees (Global),,
Assimilate Solut...,4.1,(98 Reviews),Private,"Tucson,Arizona + 7 more",9 years old,1k-5k Employees (India)
Sowparnika,3.1,(98 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",19 years old,51-200 Employees (India)
Myk Schomburg,3.8,(98 Reviews),Hyderabad + 19 more,16 years old,201-500 Employees (India),
Maharashtra Natu...,3.9,(98 Reviews),Private,Pune + 4 more,16 years old,501-1k Employees (India)
NSL Sugars,3.9,(98 Reviews),Private,Hyderabad + 12 more,23 years old,201-500 Employees (India)
Prestige Estates...,4.4,(98 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 5 more",36 years old,1k-5k Employees (India)
Shaze Luxury Ret...,3.1,(98 Reviews),"Mumbai,Maharashtra + 9 more",12 years old,51-200 Employees (India),
Sofitel Luxury H...,4.7,(98 Reviews),Paris + 5 more,58 years old,1k-5k Employees (India),
Home Centre,4.5,(98 Reviews),Dubai + 22 more,27 years old,11-50 Employees (India),
Metro Retail.PVT...,3.8,(98 Reviews),Private,Howrah + 24 more,13 years old,501-1k Employees (India)
ESAF CO-OPERATIV...,3.7,(98 Reviews),"Thrissur,Kerala + 48 more",30 years old,10k-50k Employees (India),
CIBERsites India,3.3,(98 Reviews),Private,Troy + 3 more,48 years old,501-1k Employees (India)
Dream India Scho...,3.7,(98 Reviews),Private,Hyderabad + 33 more,9 years old,11-50 Employees (India)
PowerSchool Indi...,4.2,(98 Reviews),"Folsom,California + 1 more",25 years old,501-1k Employees (India),
Infocepts Techno...,3.9,(98 Reviews),Private,"McLean,Virginia + 3 more",18 years old,501-1k Employees (India)
Barco Electronic...,4.4,(98 Reviews),Private,"Duluth,Georgia + 4 more",88 years old,501-1k Employees (India)
Maharashtra Stat...,4,(98 Reviews),Private,Mumbai + 24 more,74 years old,50k-1 Lakh Employees (India)
Americana Group,4,(98 Reviews),Private,Kuwait City + 12 more,58 years old,50k-1 Lakh Employees (Global)
Global Aluminium,4,(98 Reviews),Private,Hyderabad/Secunderabad + 4 more,25 years old,201-500 Employees (India)
Texport Industri...,4.1,(98 Reviews),Private,"Mumbai,Maharashtra + 6 more",44 years old,1k-5k Employees (India)
J. C. Penney,4.4,(98 Reviews),Private,"Plano,Texas + 4 more",120 years old,501-1k Employees (India)
Rajdeep Buildcon,4.2,(98 Reviews),Private,Pune + 15 more,30 years old,1k-5k Employees (India)
KGK Group,3.5,(98 Reviews),Private,Hong Kong + 10 more,117 years old,201-500 Employees (India)
Mayfair Hotels &...,4.3,(98 Reviews),Public,Bhubaneswar + 11 more,40 years old,501-1k Employees (India)
Municipal Corpor...,4.2,(98 Reviews),Public,Mumbai + 3 more,134 years old,1 Lakh+ Employees (India)
WaterHealth Inte...,3.6,(98 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 10 more",17 years old,51-200 Employees (India)
Health Prime Ser...,3.9,(98 Reviews),Private,Mumbai + 1 more,19 years old,201-500 Employees (India)
Met Technologies,2.6,(98 Reviews),Private,"Kolkata,West Bengal + 1 more",12 years old,501-1k Employees (India)
Comvision,4.9,(98 Reviews),Private,Gurgaon + 4 more,11-50 Employees (India),
Gautam Solar,3.4,(98 Reviews),Private,New Delhi + 10 more,25 years old,51-200 Employees (India)
Emerson Innovati...,4.1,(98 Reviews),Pune,19 years old,501-1k Employees (Global),
Dream Plast Indi...,3.6,(98 Reviews),Pune + 3 more,13 years old,201-500 Employees (India),
Marathon Electri...,3.8,(98 Reviews),"Las Vegas,Nevada + 9 more",109 years old,201-500 Employees (India),
Acidaes Solution...,3.7,(98 Reviews),Private,"Noida,Uttar Pradesh + 4 more",21 years old,501-1k Employees (India)
DataTrained,4.6,(98 Reviews),LLP,"Bangalore,Karnataka + 1 more",10 years old,51-200 Employees (India)
Jade Global,4.2,(98 Reviews),Private,San Jose + 3 more,19 years old,1k-5k Employees (India)
Roots Multiclean,4,(98 Reviews),Public,"Coimbatore,Tamil Nadu + 22 more",30 years old,201-500 Employees (India)
Kanpur PLastipac...,3.9,(97 Reviews),Public,"Kanpur,Uttar Pradesh + 2 more",51 years old,201-500 Employees (India)
Fujitec,4.2,(97 Reviews),Public,Hikone + 14 more,12 years old,201-500 Employees (India)
Takenaka,4.1,(97 Reviews),Private,Osaka + 13 more,85 years old,201-500 Employees (India)
Trantor,3.8,(97 Reviews),Private,Menlo Park + 1 more,10 years old,501-1k Employees (India)
Celebi Ground Ha...,4.2,(97 Reviews),Private,Istanbul + 9 more,64 years old,51-200 Employees (India)
IAF,4.7,(97 Reviews),Public,New Delhi + 21 more,90 years old,201-500 Employees (India)
Burckhardt Compr...,4.2,(97 Reviews),Public,Zurich + 4 more,178 years old,201-500 Employees (India)
Lucy Electric,4.1,(97 Reviews),Thame + 7 more,210 years old,51-200 Employees (India),
Vinculum Solutio...,3.3,(97 Reviews),Private,"Noida,Uttar Pradesh + 4 more",15 years old,201-500 Employees (India)
Citrus Hotels,4.2,(97 Reviews),Private,Mumbai + 21 more,14 years old,51-200 Employees (India)
Locuz Enterprise...,4.1,(97 Reviews),"Hyderabad/Secunderabad,Telangana + 11 more",23 years old,501-1k Employees (India),
Trimble,4.3,(97 Reviews),Private,"Sunnyvale,California + 7 more",44 years old,1k-5k Employees (India)
Ansal Properties...,3.7,(97 Reviews),Public,"Delhi/NCR,New Delhi + 10 more",55 years old,1k-5k Employees (India)
Alp Consulting,3.7,(97 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 13 more",26 years old,201-500 Employees (India)
Cape East,3.7,(97 Reviews),Montpellier + 7 more,129 years old,10k-50k Employees (Global),
Xanadu Realty,3.2,(97 Reviews),Private,"Toronto,Ontario + 6 more",7 years old,201-500 Employees (India)
Nehru Yuva Kendr...,4.3,(97 Reviews),New Delhi + 50 more,50 years old,,
Gruh Finance,4.4,(97 Reviews),Public,"Ahmedabad,Gujarat + 46 more",34 years old,501-1k Employees (India)
Deep Industries,3,(97 Reviews),Public,"Ahmedabad,Gujarat + 7 more",31 years old,51-200 Employees (India)
