name,Rating,Reviews,Company_Type,Head_Quarters,Company_Age,No_of_Employee
Nagarjuna Constr...,4.2,(2.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 164 more",24 years old,1k-5k Employees (India)
Royal Enfield,4.2,(2.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 224 more",67 years old,5k-10k Employees (India)
D Mart,4,(2.2k Reviews),Private,"Mumbai,Maharashtra + 143 more",22 years old,5k-10k Employees (India)
CBRE,4.3,(2.2k Reviews),Private,"Los Angeles,California + 49 more",116 years old,10k-50k Employees (India)
JBM Group,4.1,(2.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 71 more",39 years old,1k-5k Employees (India)
State Bank of In...,3.9,(2.2k Reviews),"Mumbai,Maharashtra + 321 more",216 years old,1 Lakh+ Employees (India),
Tata Communicati...,4.2,(2.9k Reviews),Public,"Mumbai,Maharashtra + 87 more",36 years old,10k-50k Employees (India)
ICICI Lombard Ge...,3.8,(2.1k Reviews),Public,"Mumbai,Maharashtra + 191 more",21 years old,5k-10k Employees (India)
Equitas Small Fi...,4.1,(2.1k Reviews),Private,"Chennai,Tamil Nadu + 272 more",15 years old,1k-5k Employees (India)
Flex,4.1,(2.1k Reviews),Private,San Jose + 35 more,53 years old,10k-50k Employees (India)
Muthoot Fincorp,4,(2.1k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 395 more",135 years old,10k-50k Employees (India)
Amdocs,4.1,(2.1k Reviews),Private,"Chesterfield,Missouri + 11 more",40 years old,10k-50k Employees (India)
LG Electronics,4.1,(2.1k Reviews),Public,"Seoul,Seoul + 183 more",64 years old,5k-10k Employees (India)
Motherson Sumi S...,3.9,(3.4k Reviews),Public,"Noida,Uttar Pradesh + 61 more",36 years old,1k-5k Employees (India)
Sodexo,4.1,(2.2k Reviews),Private,Issy Les Moulineaux + 105 more,14 years old,10k-50k Employees (India)
L&T Financial Se...,4.1,(2.1k Reviews),Public,"Mumbai,Maharashtra + 368 more",28 years old,10k-50k Employees (India)
Hetero Drugs,4,(2.4k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 30 more",29 years old,1k-5k Employees (India)
UST,4.1,(2.2k Reviews),Private,"Aliso Viejo,California + 32 more",21 years old,10k-50k Employees (India)
John Deere,4.4,(2.3k Reviews),Private,"Moline,Illinois + 90 more",21 years old,1k-5k Employees (India)
Ford Motor,4.5,(2.4k Reviews),Public,"Dearborn,Michigan + 97 more",119 years old,5k-10k Employees (India)
Ecom Express,4.2,(2k Reviews),Private,"Gurgaon,Haryana + 445 more",10 years old,10k-50k Employees (India)
Bosch Global Sof...,4.2,(2k Reviews),Private,Gerlingen + 18 more,32 years old,10k-50k Employees (India)
Alembic Pharmace...,4.1,(2k Reviews),Public,"Vadodara/Baroda,Gujrat + 115 more",115 years old,5k-10k Employees (India)
Bajaj Auto,4.1,(5.5k Reviews),Public,"Pune,Maharashtra + 193 more",77 years old,201-500 Employees (India)
Whitehat jr,3.9,(2k Reviews),Private,"Mumbai,Maharashtra + 44 more",4 years old,5k-10k Employees (India)
Abbott Healthcar...,4.1,(3.3k Reviews),Public,"Illinois City,Illinois + 136 more",31 years old,10k-50k Employees (India)
SBI Life Insuran...,3.8,(2k Reviews),Public,"Mumbai,Maharashtra + 395 more",21 years old,10k-50k Employees (India)
Simplex Infrastr...,3.7,(2.2k Reviews),Public,"Kolkata,West Bengal + 118 more",98 years old,1k-5k Employees (India)
KEC Internationa...,4.2,(2k Reviews),Public,"Mumbai,Maharashtra + 190 more",77 years old,5k-10k Employees (India)
Muthoot Group,3.6,(4.2k Reviews),Public,"Wedel,Schleswig-holstein + 314 more",135 years old,1k-5k Employees (India)
Cholamandalam In...,4.3,(2k Reviews),Private,"Chennai,Tamil Nadu + 450 more",44 years old,1k-5k Employees (India)
Wipro Enterprise...,3.8,(2k Reviews),Bangalore + 65 more,77 years old,1 Lakh+ Employees (India),
Hindustan Coca C...,4.4,(2k Reviews),Private,Bangalore + 164 more,25 years old,1k-5k Employees (India)
Indiamart Interm...,3.8,(2k Reviews),Private,"Noida,Uttar Pradesh + 93 more",26 years old,10k-50k Employees (India)
Arvind Group,4.1,(2.2k Reviews),Public,"Ahmedabad,Gujrat + 128 more",91 years old,10k-50k Employees (India)
Subros,4,(2k Reviews),Public,"Noida,Uttar Pradesh + 31 more",37 years old,1k-5k Employees (India)
Schneider Electr...,4.2,(3.6k Reviews),Private,Paris + 62 more,23 years old,10k-50k Employees (India)
Gati kwe,4.2,(1.9k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 143 more",10 years old,1k-5k Employees (India)
Thermax,4.3,(2.2k Reviews),Public,"Pune,Maharashtra + 115 more",42 years old,1k-5k Employees (India)
BigBasket,4.2,(2k Reviews),Private,"Bangalore,Karnataka + 67 more",11 years old,5k-10k Employees (India)
Intas Pharmaceut...,4.3,(1.9k Reviews),Private,"Ahmedabad,Gujrat + 91 more",22 years old,5k-10k Employees (India)
GlobalLogic,4,(1.9k Reviews),Private,"San Jose,California + 21 more",22 years old,5k-10k Employees (India)
NatWest Group,4.1,(1.9k Reviews),Chennai + 17 more,10k-50k Employees (India),,
Shoppers Stop,4.3,(2k Reviews),Public,"Mumbai,Maharashtra + 53 more",31 years old,10k-50k Employees (India)
VE Commercial Ve...,4.1,(1.9k Reviews),Private,"Gurgaon/Gurugram,Haryana + 101 more",14 years old,1k-5k Employees (India)
Indian Air Force,4.6,(1.9k Reviews),Private,"New Delhi,Delhi + 98 more",90 years old,1 Lakh+ Employees (India)
Varun Beverages,4,(1.9k Reviews),Public,"Gurgaon/Gurugram,Haryana + 180 more",27 years old,5k-10k Employees (India)
Muthoot Finance,3.6,(1.9k Reviews),Public,"Kochi/Cochin,Kerala + 367 more",83 years old,10k-50k Employees (India)
Suzlon Group,4.2,(1.9k Reviews),Public,"Pune,Maharashtra + 81 more",27 years old,5k-10k Employees (India)
Atos,3.8,(6.1k Reviews),Private,"Vilnius,Vilniaus Apskritis + 30 more",25 years old,10k-50k Employees (India)
Cummins,4.4,(1.8k Reviews),"Columbus,Indiana + 74 more",60 years old,10k-50k Employees (India),
McDonald's,4.3,(1.9k Reviews),Private,"Chicago,Illinois + 114 more",67 years old,5k-10k Employees (India)
DTDC Express,4,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 184 more",32 years old,1k-5k Employees (India)
Macleods Pharmac...,4,(1.8k Reviews),Public,"Mumbai,Maharashtra + 73 more",36 years old,5k-10k Employees (India)
CMS IT Services,3.2,(1.8k Reviews),Private,"Bangalore,Karnataka + 110 more",8 years old,5k-10k Employees (India)
Lava Internation...,4.2,(1.8k Reviews),Public,"Noida,Uttar Pradesh + 201 more",13 years old,1k-5k Employees (India)
Glenmark Pharmac...,4.2,(1.8k Reviews),Public,"Mumbai,Maharashtra + 104 more",45 years old,5k-10k Employees (India)
Bel,4.2,(1.8k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 28 more",68 years old,5k-10k Employees (India)
ABB Group,4.1,(1.8k Reviews),Public,Zurich + 84 more,21 years old,5k-10k Employees (India)
American Express,4.4,(1.9k Reviews),Private,"New York City,New York + 34 more",172 years old,10k-50k Employees (India)
Alkem Laboratori...,4.1,(1.8k Reviews),Public,"Mumbai,Maharashtra + 114 more",49 years old,10k-50k Employees (India)
Honda Motorcycle...,4.2,(1.8k Reviews),Private,"Gurgaon/Gurugram,Haryana + 160 more",23 years old,5k-10k Employees (India)
Virtusa Consulti...,3.8,(1.8k Reviews),Private,"Southborough,Massachusetts + 22 more",26 years old,5k-10k Employees (India)
Deutsche Bank,4.3,(1.8k Reviews),Private,Frankfurt + 29 more,152 years old,10k-50k Employees (India)
Reliance Nippon ...,3.9,(1.8k Reviews),Private,"Mumbai,Maharashtra + 371 more",22 years old,10k-50k Employees (India)
Swiggy,4.2,(1.7k Reviews),Private,"Bangalore,Karnataka + 123 more",8 years old,1k-5k Employees (India)
Pidilite Industr...,4.4,(1.9k Reviews),Public,"Mumbai,Maharashtra + 161 more",63 years old,5k-10k Employees (India)
Standard Charter...,4.2,(4.1k Reviews),Private,London + 56 more,53 years old,5k-10k Employees (India)
Randstad,4.2,(1.8k Reviews),Private,"Chennai,Tamil Nadu + 191 more",30 years old,1k-5k Employees (India)
Havells,4.2,(1.9k Reviews),Public,"Noida,Uttar Pradesh + 116 more",39 years old,5k-10k Employees (India)
Optum,4.1,(1.7k Reviews),Private,Minnesota + 19 more,45 years old,1 Lakh+ Employees (Global)
Tata Teleservice...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 153 more",26 years old,201-500 Employees (India)
Ipca Laboratorie...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 96 more",73 years old,5k-10k Employees (India)
Bajaj Electrical...,4.1,(1.7k Reviews),Public,"Mumbai,Maharashtra + 159 more",84 years old,5k-10k Employees (India)
DCB Bank,3.9,(1.7k Reviews),Private,"Mumbai,Maharashtra + 223 more",92 years old,5k-10k Employees (India)
Indian Oil Corpo...,4.4,(1.9k Reviews),Private,"Delhi/NCR,Delhi + 169 more",63 years old,10k-50k Employees (India)
Titan Company,4.4,(1.7k Reviews),Public,"Mumbai,Maharashtra + 116 more",4 years old,5k-10k Employees (India)
Future Retail,4.3,(4.3k Reviews),Public,"San Francisco,California + 182 more",35 years old,10k-50k Employees (India)
24/7 Customer,3.6,(1.7k Reviews),Private,"San Jose,California + 18 more",22 years old,5k-10k Employees (India)
State Street Syn...,3.8,(1.7k Reviews),Private,Mumbai + 11 more,18 years old,501-1k Employees (India)
Hindalco Industr...,4.3,(1.7k Reviews),Public,"Mumbai,Maharashtra + 61 more",64 years old,10k-50k Employees (India)
Tractors and Far...,4.2,(1.7k Reviews),Public,"Chennai,Tamil Nadu + 130 more",62 years old,5k-10k Employees (India)
